vector_type,size,algorithm,time_ns,comparisons
reversed,2900,StringMergeSort,6689708,11653
reversed,2900,TernaryQuickSort,20239500,58068
reversed,3000,MergeSort,6388708,28265
reversed,3000,MsdRadixQuickSort,15069584,25577
reversed,3000,MsdRadixSort,7894791,0
reversed,3000,QuickSort,20872375,269206
reversed,3000,StringMergeSort,6947291,11993
reversed,3000,TernaryQuickSort,20892375,56892
reversed,100,MergeSort,172833,673
reversed,100,MsdRadixQuickSort,514042,869
reversed,100,MsdRadixSort,250167,0
reversed,100,QuickSort,511291,8155
reversed,100,StringMergeSort,194583,376
reversed,100,TernaryQuickSort,532125,1135
reversed,200,MergeSort,357583,1477
reversed,200,MsdRadixQuickSort,1004166,1747
reversed,200,MsdRadixSort,519958,0
reversed,200,QuickSort,1080542,16589
reversed,200,StringMergeSort,403583,775
reversed,200,TernaryQuickSort,1313917,2440
reversed,300,MergeSort,560458,2283
reversed,300,MsdRadixQuickSort,1526125,2781
reversed,300,MsdRadixSort,785916,0
reversed,300,QuickSort,1607833,24818
reversed,300,StringMergeSort,600083,1133
reversed,300,TernaryQuickSort,1814833,4643
reversed,400,MergeSort,746083,3198
reversed,400,MsdRadixQuickSort,2043125,3625
reversed,400,MsdRadixSort,1037166,0
reversed,400,QuickSort,2326042,34931
reversed,400,StringMergeSort,827625,1576
reversed,400,TernaryQuickSort,2381291,5592
reversed,500,MergeSort,1040333,3902
reversed,500,MsdRadixQuickSort,2530625,4448
reversed,500,MsdRadixSort,1254625,0
reversed,500,QuickSort,2954375,42802
reversed,500,StringMergeSort,1026958,1912
reversed,500,TernaryQuickSort,2914042,6896
reversed,600,MergeSort,1157416,4909
reversed,600,MsdRadixQuickSort,2929042,5092
reversed,600,MsdRadixSort,1630709,0
reversed,600,QuickSort,3720959,52802
reversed,600,StringMergeSort,1254208,2331
reversed,600,TernaryQuickSort,3627583,9337
reversed,700,MergeSort,1356250,5940
reversed,700,MsdRadixQuickSort,3399584,5853
reversed,700,MsdRadixSort,1818584,0
reversed,700,QuickSort,4194041,59079
reversed,700,StringMergeSort,1505875,2855
reversed,700,TernaryQuickSort,4385417,11844
reversed,800,MergeSort,1596208,6720
reversed,800,MsdRadixQuickSort,4042459,6818
reversed,800,MsdRadixSort,2303167,0
reversed,800,QuickSort,5006958,69639
reversed,800,StringMergeSort,1747083,3124
reversed,800,TernaryQuickSort,5287625,13855
reversed,900,MergeSort,1783583,7503
reversed,900,MsdRadixQuickSort,4817833,7940
reversed,900,MsdRadixSort,2338875,0
reversed,900,QuickSort,5448833,77682
reversed,900,StringMergeSort,1968708,3449
reversed,900,TernaryQuickSort,5925125,15141
reversed,1000,MergeSort,1939292,8281
reversed,1000,MsdRadixQuickSort,5021083,8891
reversed,1000,MsdRadixSort,2572833,0
reversed,1000,QuickSort,6060000,84612
reversed,1000,StringMergeSort,2143250,3840
reversed,1000,TernaryQuickSort,6282000,16227
reversed,1100,MergeSort,2166250,9370
reversed,1100,MsdRadixQuickSort,5583625,9709
reversed,1100,MsdRadixSort,2850000,0
reversed,1100,QuickSort,6746167,91432
reversed,1100,StringMergeSort,2373833,4308
reversed,1100,TernaryQuickSort,7026334,17365
reversed,1200,MergeSort,2443125,10419
reversed,1200,MsdRadixQuickSort,6233458,10580
reversed,1200,MsdRadixSort,3161833,0
reversed,1200,QuickSort,7502208,102481
reversed,1200,StringMergeSort,2674791,4667
reversed,1200,TernaryQuickSort,7774833,19452
reversed,1300,MergeSort,2701000,11484
reversed,1300,MsdRadixQuickSort,6554000,11338
reversed,1300,MsdRadixSort,3393750,0
reversed,1300,QuickSort,8231459,111885
reversed,1300,StringMergeSort,2885708,5187
reversed,1300,TernaryQuickSort,8168000,20427
reversed,1400,MergeSort,3015958,12615
reversed,1400,MsdRadixQuickSort,7072000,11915
reversed,1400,MsdRadixSort,3690459,0
reversed,1400,QuickSort,8959958,117689
reversed,1400,StringMergeSort,3155792,5699
reversed,1400,TernaryQuickSort,8921584,22858
reversed,1500,MergeSort,3118125,13259
reversed,1500,MsdRadixQuickSort,7459666,12881
reversed,1500,MsdRadixSort,3911584,0
reversed,1500,QuickSort,9374125,128212
reversed,1500,StringMergeSort,3311166,5829
reversed,1500,TernaryQuickSort,9825959,26114
reversed,1600,MergeSort,3259250,14233
reversed,1600,MsdRadixQuickSort,8008375,13869
